2025.12.10 03:29:25 - OnInit() started
2025.12.10 03:29:25 - === 开始计算神龙通道指标 ===
2025.12.10 03:29:25 - 数据总数: 2119, 先前计算: 0
2025.12.10 03:29:25 - 当前时间: 2025.12.10 00:00, 计算范围: 0-1970
2025.12.10 03:29:26 - BUY | Time=2024.12.06 12:00:00, g116_0=2632.321696, g116_1=2631.028848, g120_0=2672.641648, g120_1=2671.072608, slld0_0=2682.004063, slld8_0=2610.073332, low_0=2623.860000, low_1=2633.540000, high_0=2643.230000, high_1=2645.580000
2025.12.10 03:29:26 - CLOSE-BUY | Time=2024.12.11 00:00:00, g116_0=2655.223232, g116_1=2654.078096, g120_0=2697.581840, g120_1=2696.425712, slld0_0=2682.354600, slld8_0=2611.306252, low_0=2693.100000, low_1=2690.780000, high_0=2704.320000, high_1=2694.340000
2025.12.10 03:29:26 - BUY | Time=2024.12.13 20:00:00, g116_0=2647.358800, g116_1=2649.325376, g120_0=2685.992176, g120_1=2688.102032, slld0_0=2696.235223, slld8_0=2624.471182, low_0=2646.230000, low_1=2651.800000, high_0=2654.770000, high_1=2664.110000
2025.12.10 03:29:26 - CLOSE-SELL | Time=2024.12.18 20:00:00, g116_0=2608.300736, g116_1=2610.233296, g120_0=2648.459264, g120_1=2650.045744, slld0_0=2693.041805, slld8_0=2626.468256, low_0=2583.610000, low_1=2632.880000, high_0=2633.570000, high_1=2639.660000
2025.12.10 03:29:26 - CLOSE-SELL | Time=2024.12.19 12:00:00, g116_0=2603.324336, g116_1=2604.298992, g120_0=2642.439824, g120_1=2643.777408, slld0_0=2691.358166, slld8_0=2623.750680, low_0=2591.320000, low_1=2611.630000, high_0=2621.680000, high_1=2626.240000
2025.12.10 03:29:26 - CLOSE-SELL | Time=2024.12.20 12:00:00, g116_0=2601.110800, g116_1=2601.198160, g120_0=2637.192304, g120_1=2637.741952, slld0_0=2687.105841, slld8_0=2618.027167, low_0=2599.900000, low_1=2602.500000, high_0=2618.150000, high_1=2607.760000
2025.12.10 03:29:26 - SELL | Time=2024.12.26 16:00:00, g116_0=2608.558704, g116_1=2607.910448, g120_0=2636.655600, g120_1=2635.997216, slld0_0=2672.494501, slld8_0=2608.391314, low_0=2627.790000, low_1=2621.540000, high_0=2638.820000, high_1=2630.910000
2025.12.10 03:29:26 - BUY | Time=2024.12.30 08:00:00, g116_0=2612.432400, g116_1=2612.066016, g120_0=2642.905344, g120_1=2642.229264, slld0_0=2667.190915, slld8_0=2607.319217, low_0=2608.840000, low_1=2617.810000, high_0=2619.890000, high_1=2628.070000
2025.12.10 03:29:26 - SELL | Time=2025.01.02 13:00:00, g116_0=2617.326080, g116_1=2616.439392, g120_0=2649.826112, g120_1=2648.673552, slld0_0=2664.054107, slld8_0=2605.343783, low_0=2635.590000, low_1=2630.670000, high_0=2655.360000, high_1=2645.810000
2025.12.10 03:29:26 - BUY | Time=2025.01.06 08:00:00, g116_0=2625.404432, g116_1=2624.601040, g120_0=2659.933088, g120_1=2658.957424, slld0_0=2663.664334, slld8_0=2606.175106, low_0=2625.070000, low_1=2629.670000, high_0=2635.510000, high_1=2644.830000
2025.12.10 03:29:26 - CLOSE-BUY | Time=2025.01.10 12:00:00, g116_0=2652.507968, g116_1=2651.382992, g120_0=2687.267600, g120_1=2686.085120, slld0_0=2669.806738, slld8_0=2612.066552, low_0=2664.860000, low_1=2673.280000, high_0=2693.170000, high_1=2682.570000
2025.12.10 03:29:26 - BUY | Time=2025.01.13 16:00:00, g116_0=2659.927168, g116_1=2658.915968, g120_0=2694.059296, g120_1=2693.202272, slld0_0=2674.760593, slld8_0=2616.589516, low_0=2657.640000, low_1=2663.880000, high_0=2672.940000, high_1=2680.640000
2025.12.10 03:29:26 - BUY | Time=2025.01.14 12:00:00, g116_0=2665.342160, g116_1=2664.217248, g120_0=2698.906208, g120_1=2697.866592, slld0_0=2677.814370, slld8_0=2619.602781, low_0=2659.680000, low_1=2664.800000, high_0=2673.950000, high_1=2674.450000
2025.12.10 03:29:26 - CLOSE-BUY | Time=2025.01.16 12:00:00, g116_0=2682.103424, g116_1=2680.410112, g120_0=2715.735392, g120_1=2714.050720, slld0_0=2684.253761, slld8_0=2626.737402, low_0=2699.840000, low_1=2693.040000, high_0=2718.700000, high_1=2708.090000
2025.12.10 03:29:26 - BUY | Time=2025.01.20 00:00:00, g116_0=2697.857072, g116_1=2696.070016, g120_0=2731.926224, g120_1=2729.927392, slld0_0=2691.828307, slld8_0=2635.025464, low_0=2689.140000, low_1=2699.740000, high_0=2704.190000, high_1=2707.010000
2025.12.10 03:29:26 - BUY | Time=2025.01.20 12:00:00, g116_0=2703.739248, g116_1=2701.721584, g120_0=2738.136624, g120_1=2736.010768, slld0_0=2694.493546, slld8_0=2637.796089, low_0=2702.120000, low_1=2702.650000, high_0=2712.350000, high_1=2711.650000
2025.12.10 03:29:26 - CLOSE-BUY | Time=2025.01.22 04:00:00, g116_0=2721.421744, g116_1=2719.756544, g120_0=2756.747296, g120_1=2754.926384, slld0_0=2703.511363, slld8_0=2646.317463, low_0=2745.910000, low_1=2741.770000, high_0=2758.440000, high_1=2749.680000
2025.12.10 03:29:26 - CLOSE-BUY | Time=2025.01.24 00:00:00, g116_0=2735.055776, g116_1=2734.052048, g120_0=2771.283968, g120_1=2770.282784, slld0_0=2717.874661, slld8_0=2660.705008, low_0=2753.250000, low_1=2751.130000, high_0=2775.110000, high_1=2757.870000
2025.12.10 03:29:26 - BUY | Time=2025.01.27 16:00:00, g116_0=2741.145264, g116_1=2740.579104, g120_0=2776.334880, g120_1=2776.034832, slld0_0=2732.513447, slld8_0=2674.454178, low_0=2730.380000, low_1=2744.880000, high_0=2751.260000, high_1=2771.440000
2025.12.10 03:29:26 - BUY | Time=2025.01.29 16:00:00, g116_0=2753.130352, g116_1=2751.751376, g120_0=2788.549120, g120_1=2786.881760, slld0_0=2744.941685, slld8_0=2686.231348, low_0=2748.030000, low_1=2752.030000, high_0=2759.440000, high_1=2760.870000
2025.12.10 03:29:26 - BUY | Time=2025.02.03 00:00:00, g116_0=2783.082368, g116_1=2780.720672, g120_0=2825.638208, g120_1=2822.523728, slld0_0=2758.523459, slld8_0=2701.768788, low_0=2774.150000, low_1=2794.550000, high_0=2806.490000, high_1=2802.620000
2025.12.10 03:29:26 - CLOSE-BUY | Time=2025.02.05 08:00:00, g116_0=2820.495520, g116_1=2817.871824, g120_0=2867.744032, g120_1=2864.820480, slld0_0=2781.861724, slld8_0=2719.234954, low_0=2854.400000, low_1=2849.660000, high_0=2876.730000, high_1=2861.620000
2025.12.10 03:29:26 - BUY | Time=2025.02.06 16:00:00, g116_0=2838.460976, g116_1=2836.399872, g120_0=2887.598576, g120_1=2885.367168, slld0_0=2798.422389, slld8_0=2733.619369, low_0=2833.910000, low_1=2840.750000, high_0=2854.550000, high_1=2870.010000
2025.12.10 03:29:26 - CLOSE-BUY | Time=2025.02.11 00:00:00, g116_0=2865.601152, g116_1=2864.140512, g120_0=2916.757056, g120_1=2915.073984, slld0_0=2827.173617, slld8_0=2758.025357, low_0=2906.030000, low_1=2902.400000, high_0=2942.260000, high_1=2908.190000
2025.12.10 03:29:26 - BUY | Time=2025.02.12 12:00:00, g116_0=2876.613008, g116_1=2875.395744, g120_0=2925.865856, g120_1=2924.976240, slld0_0=2847.492803, slld8_0=2774.437165, low_0=2864.290000, low_1=2879.140000, high_0=2898.130000, high_1=2895.630000
2025.12.10 03:29:26 - CLOSE-BUY | Time=2025.02.14 00:00:00, g116_0=2887.273872, g116_1=2886.392880, g120_0=2932.232976, g120_1=2931.634896, slld0_0=2864.867346, slld8_0=2789.954039, low_0=2925.820000, low_1=2923.780000, high_0=2933.690000, high_1=2929.300000
2025.12.10 03:29:26 - BUY | Time=2025.02.14 16:00:00, g116_0=2889.855184, g116_1=2889.294224, g120_0=2934.049216, g120_1=2933.677904, slld0_0=2872.072035, slld8_0=2797.397806, low_0=2881.950000, low_1=2914.180000, high_0=2921.690000, high_1=2937.520000
2025.12.10 03:29:26 - BUY | Time=2025.02.18 00:00:00, g116_0=2896.572128, g116_1=2895.497248, g120_0=2938.642208, g120_1=2937.660736, slld0_0=2882.898709, slld8_0=2807.914562, low_0=2891.840000, low_1=2896.320000, high_0=2904.920000, high_1=2903.860000
2025.12.10 03:29:26 - CLOSE-BUY | Time=2025.02.20 08:00:00, g116_0=2908.889776, g116_1=2908.435184, g120_0=2952.762016, g120_1=2952.025040, slld0_0=2900.900683, slld8_0=2828.211605, low_0=2946.170000, low_1=2939.160000, high_0=2954.720000, high_1=2948.690000
2025.12.10 03:29:26 - CLOSE-BUY | Time=2025.02.24 12:00:00, g116_0=2904.701712, g116_1=2905.998032, g120_0=2953.068144, g120_1=2953.908944, slld0_0=2918.820136, slld8_0=2845.723548, low_0=2934.540000, low_1=2934.720000, high_0=2955.930000, high_1=2948.780000
2025.12.10 03:29:26 - CLOSE-BUY | Time=2025.02.24 20:00:00, g116_0=2901.572128, g116_1=2903.219072, g120_0=2950.698688, g120_1=2951.977280, slld0_0=2921.307344, slld8_0=2848.066196, low_0=2946.650000, low_1=2930.530000, high_0=2952.910000, high_1=2947.790000
2025.12.10 03:29:26 - CLOSE-BUY | Time=2025.02.25 12:00:00, g116_0=2893.338704, g116_1=2895.578912, g120_0=2944.183280, g120_1=2946.003968, slld0_0=2925.918427, slld8_0=2852.775932, low_0=2923.830000, low_1=2929.320000, high_0=2944.620000, high_1=2942.190000
2025.12.10 03:29:26 - BUY | Time=2025.02.25 16:00:00, g116_0=2891.037872, g116_1=2893.338704, g120_0=2942.273984, g120_1=2944.183280, slld0_0=2927.127487, slld8_0=2853.638443, low_0=2888.230000, low_1=2923.830000, high_0=2934.660000, high_1=2944.620000
